Blog	four	looking	second	here	music	until	want	how	series	re	service	saying	much	life	things	had	has	right	old	people	support	full	time	team	love	working	such	so	years	didn	internet	million	one	open	say	take	ways	going	where	many	photos	being	around	world	her	am	an	as	tv	th	small	past	hours	experience	more	company	its	always	found	really	also	set	see	available	last	community	person	d	be	by	into	up	us	ago	having	try	video	let	great	makes	next	could	system	best	should	email	ve	site	off	web	become	told	work	after	order	them	they	another	what	do	away	we	com	night	security	post	months	way	was	change	live	can	december	still	not	now	year	space	shows	than	online	america	only	between	these	media	real	read	using	t	business	your	start	lot	trying	since	month	very	help	actually	put	store	mobile	latest	pretty	during	won	probably	both	look	while	used	game	some	doesn	youtube	go	facebook	started	including	special	times	data	need	able	she	well	page	twitter	home	he	star	friends	companies	even	new	ever	never	tell	give	president	before	better	side	content	isn	seen	don	m	stop	said	against	appeared	three	if	make	left	just	deal	super	down	finally	did	making	sunday	may	man	talk	morning	thing	think	first	long	little	were	especially	show	black	get	enough	reading	according	those	then	different	same	money	again	important	u	public	two	good	everyone	house	hard	idea	least	part	most	find	point	create	big	bit	google	often	back	access	account	ll	day	have	national	like	about	buy	but	under	every	york	would	phone	me	my	keep	end	over	writing	each	got	free	days	already	top	too	took	final	report	news	been	donald	christmas	head	no	when	today	name	place	any	ideas	state	major	through	come	someone	week	without	blog	or	there	all	program	list	design	v	might	feel	story	kind	i	his	him	are	recently	questions	called	users	once	apple	app	trump	use	few	something	our	out	their	which	who	why	words	view	will	book	smart	know	because	getting	own	made	whether	other
WIL WHEATON dot NET	0	2	2	10	2	2	12	5	0	9	0	1	12	1	6	4	13	11	0	28	0	0	10	1	7	2	2	39	8	14	1	0	9	1	2	9	1	8	1	3	0	4	4	8	7	15	7	18	0	1	1	0	2	3	8	0	6	5	0	14	3	2	11	1	6	0	5	22	18	8	14	19	4	8	2	0	0	3	5	0	4	11	0	6	3	0	12	0	1	0	0	3	2	6	1	11	17	2	16	19	6	23	0	6	0	2	1	20	31	2	2	24	0	5	23	7	5	3	0	4	1	5	5	0	5	0	3	0	1	51	1	19	5	8	2	4	0	5	3	1	5	0	0	2	2	0	3	2	0	3	3	1	7	12	3	2	10	0	4	3	0	3	0	10	0	3	1	1	0	5	14	6	5	0	9	4	2	4	3	7	0	7	3	1	0	5	3	12	20	3	3	0	0	3	22	6	2	26	1	2	3	0	8	1	0	2	1	1	1	7	5	9	8	11	12	3	5	0	15	3	2	0	6	2	2	0	3	5	4	0	1	5	4	2	3	3	0	2	2	2	3	4	1	5	1	0	2	8	2	3	9	7	16	0	30	24	1	37	0	7	0	9	0	55	36	3	3	5	3	2	4	2	3	2	0	6	4	0	0	7	14	0	0	0	5	9	5	0	2	7	0	0	0	3	6	2	0	2	0	26	16	11	0	0	1	0	0	10	1	3	190	9	10	35	0	2	0	0	3	0	0	0	1	4	6	8	18	16	8	31	2	6	0	15	0	0	11	18	0	4	7	0	3
Latest from Crooks and Liars	0	0	1	2	1	0	0	1	0	5	3	0	0	0	0	6	9	3	1	2	0	1	3	7	1	3	0	5	2	0	0	0	3	1	2	1	0	4	2	0	0	1	3	2	1	3	2	9	2	0	0	1	0	0	9	1	1	0	0	0	7	0	2	0	0	0	0	2	4	5	2	4	5	0	0	4	0	1	0	0	0	2	1	1	0	1	2	0	1	0	2	3	1	8	0	3	10	0	2	4	2	7	2	0	0	0	0	2	10	0	0	2	5	1	12	1	3	0	1	1	0	0	0	1	2	2	0	9	1	5	0	2	1	0	0	0	0	5	0	0	1	0	0	0	0	1	0	0	1	2	3	0	0	4	0	0	1	0	0	1	3	0	0	0	1	4	6	0	7	0	18	0	3	2	2	3	0	1	0	1	4	2	1	0	1	0	0	2	2	0	4	2	0	0	7	1	1	1	0	0	1	0	3	1	0	2	0	1	3	0	1	3	0	1	2	1	1	0	3	0	0	3	1	2	2	0	1	0	1	0	2	5	2	0	7	0	0	2	0	2	1	0	0	0	0	0	0	2	0	1	0	1	6	0	6	2	0	6	0	0	2	9	0	1	5	3	0	8	0	0	3	0	2	1	0	1	0	0	4	4	7	4	0	1	2	4	2	2	0	0	0	0	0	1	2	0	1	1	0	4	3	2	0	0	0	0	2	2	0	2	17	15	4	5	1	1	1	1	0	0	0	18	0	1	0	2	6	2	2	3	0	0	0	5	0	0	1	1	1	1	2	0	4
Creating Passionate Users	0	0	0	1	0	0	1	3	0	1	0	0	1	0	1	0	2	0	0	1	0	0	3	0	1	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	4	0	1	2	0	1	0	0	2	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	3	1	0	1	0	0	1	0	0	0	0	0	3	2	0	2	0	0	0	4	0	0	2	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	4	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	2	1	0	2	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	3	0	1	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	1	2	4	0	0	2	0	1	2	1	1	11	0	0	4	1	0	0	5	0	0	5	0	0	1	1	1	1	0	1	2	1	1	0	2	0	0	0	0	0	1	0	0	1
Kotaku	3	0	0	3	0	0	1	1	1	3	0	0	1	1	1	4	7	1	2	2	0	1	4	1	0	0	1	1	2	0	0	0	9	1	1	0	0	1	2	1	0	1	0	1	0	0	6	6	0	0	0	1	0	0	29	0	5	1	0	0	5	1	1	0	10	2	1	0	2	4	2	7	1	1	0	1	4	4	2	0	1	2	0	8	1	0	2	0	2	0	0	2	0	4	0	2	6	0	4	0	0	12	0	1	0	0	1	0	4	0	0	3	1	2	0	2	4	0	0	1	1	0	2	1	1	0	1	25	0	3	0	5	0	3	0	1	0	1	0	1	0	1	0	0	0	3	1	1	2	2	1	0	12	4	0	0	1	0	2	2	0	2	0	0	0	0	2	0	0	0	4	4	0	0	1	5	4	1	0	0	0	1	0	0	0	1	1	1	0	0	2	2	0	0	1	1	0	2	0	2	0	0	0	1	0	0	2	2	0	0	1	2	1	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	2	0	1	3	0	0	1	1	1	1	6	0	0	0	0	0	0	0	1	0	1	1	1	7	0	2	7	1	11	1	2	0	2	0	0	1	1	1	1	1	2	1	0	1	0	2	0	0	4	0	0	3	0	1	0	2	1	3	0	0	0	0	0	0	0	1	0	3	0	0	3	3	1	0	4	0	2	1	1	1	0	5	0	1	6	0	2	0	0	0	0	0	1	0	2	0	5	4	5	3	0	1	0	0	3	0	1	0	1	2	1	0	2	2
The Write News	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	4	0	0	0	1	0	0	0	0	2	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	15	1	1	0	0	0	1	0	0	0	2	0	0	0	2	1	2	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	0	0	0	0	0	0	0	0	15	1	0	0	1	0	4	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	15	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	1	0	0	0	14	1	0	0	0	2	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Derek Powazek	0	1	0	6	0	0	1	7	0	7	0	0	1	5	1	3	5	4	2	2	0	1	4	0	1	0	0	7	5	1	1	0	13	1	3	1	1	4	0	1	2	0	1	3	9	3	5	10	0	0	2	0	0	0	6	1	1	4	1	2	2	0	3	1	7	3	0	2	7	5	4	11	4	2	0	1	0	1	5	0	1	1	0	1	1	0	11	2	1	1	0	0	3	4	0	2	6	3	9	7	1	7	1	2	0	3	2	0	13	1	2	8	0	4	6	10	4	0	0	2	2	0	1	4	2	2	0	0	1	10	1	6	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	2	0	1	1	0	3	0	1	4	0	2	0	2	1	0	1	1	7	2	1	1	0	5	0	2	0	1	5	1	3	0	0	0	1	0	0	1	0	1	4	12	0	3	1	0	4	9	1	1	11	1	0	2	0	4	0	0	0	1	3	2	4	4	3	1	7	2	2	3	1	6	5	4	0	1	7	0	3	3	2	0	0	0	9	1	1	0	3	0	0	2	2	1	0	2	1	0	0	2	2	0	0	4	2	3	0	9	9	1	14	1	3	0	0	0	15	22	0	0	5	2	1	1	0	4	1	2	2	3	0	0	1	8	0	0	0	2	11	2	0	0	0	0	0	0	1	3	0	3	0	1	5	7	10	0	0	1	0	1	5	3	1	69	3	2	11	0	1	0	0	2	0	0	0	0	5	8	3	9	4	2	1	1	0	0	5	6	0	6	3	2	2	2	0	3
Captain's Quarters	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	7	0	0	0	0	0	1	0	1	0	0	0	2	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	1	0	1	4	0	0	0	1	0	0	3	0	3	0	0	0	2	0	0	0	0	0	0	0	4	4	2	1	3	1	0	0	0	0	0	0	1	0	3	1	2	0	0	1	1	0	1	1	1	3	0	0	2	1	0	0	0	1	0	0	0	1	2	0	1	1	0	1	0	1	3	0	0	0	1	2	0	1	1	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	3	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	2	2	4	0	3	0	1	1	0	0	1	0	2	2	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	2	0	0	0	1	2	2	0	0	0	0	2	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	4	0	3	6	1	0	0	0	0	0	1	0	0	0	1	1	0	0	4	6	0	1	0	0	0	5	0	0	0	0	0	0	0	0	2
ThinkProgress	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	1	0	1	0	0	0	1	1	0	2	0	2	1	0	3	2	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	1	1	4	5	2	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	2	1	0	0	0	0	0	0	3	0	0	0	4	0	1	2	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	2	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	5	2	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	3	0	4	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	3	0	2	0	0	0	0	1	2	1	1	0	1	0	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	11	0	1	0	0	0	4	1	2	1	2	1	5	0	0	0	0	0	0	1	0	0
blog maverick	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	2	0	1	0	1	2	0	1	0	0	0	0	0	1	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	1	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	2	4	2	1	3	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	2	3	0	8	3	0	0	0	0	0	3	0	2	1	0	0	5	1	2	0	0	4	0	1	0	0	0	2	2	0	0	4	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	2	1	0	0	0	0	2	0	1	0	0	2	0	2	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	2	0	0	0	1	0	0	0	0	1	0	0	3	0	2	0	4	0	0	1	0	0	0	0	0	1	4	0	0	0	0	0	0	2	0	0	0	2	6	0	2	2	0	2	1	1	1	1	3	2	4	0	0	0	0	0	0	1	1	0	0	0	2	0	0	4	2	0	0	0	3	3	0	0	0	1	0	1	0	1	0	0	2	0	0	4	4	2	0	0	0	0	0	2	0	0	11	0	1	6	0	0	1	0	0	3	0	2	1	0	0	3	2	1	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1
plasticbag.org	0	0	0	1	1	0	0	1	0	2	0	0	1	1	1	1	1	1	0	4	1	0	3	0	0	1	0	1	2	1	0	0	2	0	0	2	1	5	0	2	0	2	0	0	0	0	0	5	1	0	0	0	0	0	10	2	1	0	0	0	0	0	0	0	3	0	0	1	5	1	1	2	2	1	0	1	0	0	1	0	0	3	0	0	2	0	3	0	0	0	0	1	0	0	0	3	1	1	0	1	0	4	0	0	0	1	1	1	3	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	2	1	0	6	0	5	0	1	0	0	0	0	0	1	0	1	1	0	0	0	2	0	0	0	0	1	1	0	0	6	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	2	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	5	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	1	1	3	0	2	4	0	1	0	0	0	0	0	1	3	0	1	2	0	0	0	0	1	0	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	2	1	2	6	0	1	3	0	0	0	1	0	16	1	0	4	0	0	1	0	0	1	0	0	0	1	1	0	1	0	3	1	0	0	0	2	0	0	2	0	1	0	1	0	0
Autoblog	4	4	0	1	0	0	1	1	0	3	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	4	10	0	0	0	6	0	0	1	0	2	0	3	2	0	0	3	0	0	7	5	1	0	0	0	3	0	9	1	5	0	0	0	1	0	39	0	3	0	0	0	7	11	0	10	0	0	1	0	7	0	0	0	6	0	0	0	0	39	0	0	0	0	0	0	0	1	0	0	1	0	10	1	0	10	1	0	0	0	1	0	6	1	0	1	0	0	2	6	7	0	3	0	0	0	0	1	3	0	0	1	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	1	0	0	0	0	0	0	0	2	0	3	1	0	0	0	0	3	1	0	0	0	0	9	0	1	0	0	0	1	0	0	0	0	0	6	4	3	1	0	39	0	3	2	0	0	0	3	0	4	0	0	3	0	0	0	0	0	1	4	3	0	0	0	5	0	1	0	39	0	0	1	3	1	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	1	0	3	0	0	1	42	0	0	1	0	6	0	3	0	5	0	0	0	0	0	0	3	2	0	0	0	2	0	0	4	2	0	0	0	3	0	0	0	4	0	0	1	3	0	1	0	10	1	1	3	0	1	3	0	0	0	0	6	1	0	7	1	0	0	0	0	0	0	0	42	0	3	39	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0
Google Blogoscoped	0	0	1	2	0	0	2	5	0	5	6	0	4	0	1	3	1	1	0	3	0	2	4	0	2	2	0	7	1	0	0	0	13	2	0	1	0	2	1	0	0	0	2	1	0	1	5	12	0	0	1	2	0	0	4	0	1	2	0	0	2	1	4	0	0	0	0	2	4	4	3	3	1	1	0	0	0	2	0	1	1	1	0	4	0	0	4	4	0	4	0	0	1	0	0	4	7	2	6	3	0	12	0	0	0	2	0	1	6	1	1	10	0	0	5	4	0	0	0	1	1	0	2	0	1	0	0	2	4	11	0	8	1	0	0	0	0	1	0	2	1	2	0	0	0	0	0	2	2	1	1	2	2	3	0	0	1	0	0	0	0	1	0	2	0	0	2	0	0	1	2	0	1	0	4	8	0	1	0	0	0	0	0	1	0	1	0	4	2	0	2	0	0	0	8	3	1	6	0	0	1	0	1	0	0	1	0	0	0	1	0	2	1	0	1	1	1	0	5	0	1	0	3	3	2	1	0	0	0	0	0	3	0	0	0	0	3	0	0	3	3	0	1	0	0	28	1	3	0	1	6	3	5	0	6	9	0	10	0	1	0	11	4	4	7	0	0	1	0	3	0	2	0	1	1	2	1	0	0	1	4	0	0	0	6	4	1	2	2	3	0	0	0	1	1	1	0	0	1	7	5	5	0	1	1	0	0	1	0	0	18	1	0	6	0	2	1	0	1	0	4	0	3	1	2	3	2	4	5	5	0	0	2	1	0	1	2	5	0	0	2	1	4
Deadspin	1	2	2	4	0	0	0	0	0	1	0	2	1	1	3	6	5	2	1	2	0	0	4	4	0	0	0	4	0	0	1	2	5	0	2	0	0	0	1	0	0	0	0	1	0	0	4	7	0	0	0	0	0	0	25	0	3	1	1	1	2	0	2	0	9	0	0	1	3	3	1	2	2	0	0	0	0	1	1	0	0	2	0	4	4	0	2	0	4	0	1	2	1	10	1	2	1	0	3	1	0	10	0	2	0	0	0	0	6	0	0	3	1	3	5	2	2	0	0	1	0	0	0	0	2	1	0	24	0	5	0	7	2	1	0	1	0	1	0	0	2	0	0	0	0	2	2	1	0	0	2	0	6	1	0	0	0	0	0	1	0	1	0	2	0	0	2	0	0	0	7	7	1	0	2	0	4	0	1	1	0	1	0	0	0	0	0	0	0	2	0	1	1	1	1	3	3	1	0	0	1	0	0	0	4	0	2	0	0	0	0	3	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	3	1	1	0	2	0	0	2	3	0	1	0	1	2	0	0	1	0	0	2	1	9	0	0	3	0	5	0	1	0	2	0	0	2	2	0	0	0	0	1	0	1	0	1	0	1	3	1	1	2	0	1	0	5	0	2	0	0	3	0	0	2	0	0	0	1	1	0	2	1	3	0	2	0	0	0	0	0	0	4	11	0	8	1	4	1	0	0	0	0	0	1	0	0	4	0	5	2	2	0	0	0	1	0	0	0	2	0	1	0	1	1
The Dish	0	2	0	2	0	0	1	6	0	2	0	1	2	1	3	4	8	0	3	5	2	0	6	0	7	0	0	6	11	3	2	1	10	2	1	1	0	2	0	3	1	0	4	7	1	2	9	21	1	0	0	3	0	0	7	0	0	1	1	0	0	0	0	0	3	0	1	1	11	12	1	7	3	2	0	0	0	0	0	0	1	1	1	0	3	3	3	2	0	0	1	1	3	2	0	0	8	2	9	3	0	18	1	0	0	4	0	0	10	0	1	4	0	2	6	2	3	0	1	4	0	2	3	1	5	0	1	9	0	15	0	12	0	0	0	2	0	1	0	0	0	0	0	2	0	2	1	2	0	3	0	0	1	1	1	0	3	0	1	1	0	1	0	0	1	1	1	0	0	1	3	0	1	0	4	2	0	2	0	0	1	1	2	0	2	1	0	4	1	0	4	1	0	1	2	2	0	4	0	0	1	0	2	0	0	1	1	2	2	1	1	4	6	2	1	0	0	0	2	1	3	2	2	7	1	2	1	0	0	3	1	1	0	0	2	1	3	2	3	5	2	0	0	2	0	0	2	3	0	0	3	9	5	0	0	9	0	10	2	1	0	1	0	11	17	1	3	3	2	0	0	0	0	0	0	1	1	2	0	2	6	0	0	1	6	5	1	0	1	1	1	0	0	4	0	0	1	2	6	3	3	6	0	0	0	0	1	0	3	0	38	11	0	7	4	1	0	0	0	0	0	0	1	0	0	4	3	7	2	5	3	4	2	5	3	0	6	1	0	1	2	0	2
kottke.org	10	2	2	13	1	6	14	56	4	29	7	3	20	14	11	17	37	16	11	36	5	5	17	17	6	3	4	40	16	5	10	5	54	5	7	12	1	11	18	18	2	13	10	20	8	4	41	75	8	8	9	6	5	9	43	9	12	10	12	8	20	4	12	7	13	8	11	7	54	49	27	29	15	3	4	5	32	7	4	5	8	10	2	16	5	1	19	5	9	3	4	4	16	14	7	28	51	7	37	29	5	50	0	5	0	5	2	21	58	1	7	44	4	10	50	13	31	4	6	24	1	3	20	5	14	7	8	7	5	63	16	42	4	6	7	3	2	8	8	5	8	3	0	3	3	7	3	4	8	10	5	9	25	29	6	1	12	4	6	3	3	8	1	10	2	14	9	4	2	8	51	4	2	4	15	23	3	6	1	8	0	12	8	5	1	3	3	24	29	2	8	3	0	3	33	18	0	29	1	2	15	2	8	12	1	3	5	6	6	13	13	23	5	7	21	2	7	6	26	2	6	1	15	16	9	10	15	2	4	0	3	16	18	6	3	4	4	1	14	23	10	9	3	8	2	13	10	16	5	1	9	10	41	6	55	67	7	77	5	8	2	24	6	29	54	3	6	10	6	5	7	5	1	3	3	9	3	1	0	3	26	1	4	2	18	34	2	1	8	8	4	1	0	11	5	5	5	14	1	43	12	32	4	10	11	2	13	4	10	3	179	34	5	49	3	1	9	1	1	1	0	2	10	10	18	29	26	40	26	21	11	6	2	12	15	0	18	14	7	9	12	5	27
O'Reilly Radar	10	0	0	0	2	1	0	0	0	3	0	0	0	0	1	1	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	1	1	0	2	3	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	7	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	1	6	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0
Lifehack	0	0	0	2	2	0	1	8	0	0	0	0	0	2	1	1	5	2	0	4	0	0	0	0	5	1	0	4	0	1	0	0	4	0	0	0	0	2	0	2	0	0	0	1	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	4	1	9	0	0	1	0	0	0	0	0	0	2	0	5	0	0	1	0	0	0	2	0	1	2	0	0	4	0	5	5	0	5	0	2	0	20	0	2	0	0	0	8	0	0	2	2	0	0	0	2	0	0	3	0	4	0	0	0	0	4	0	12	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	4	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	5	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	20	0	3	2	0	2	1	2	0	0	0	0	0	0	2	2	2	0	3	20	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	1	4	0	0	0	1	0	0	0	2	0	0	1	1	6	0	5	1	3	2	0	2	0	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	3	2	0	0	2	1	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	1	0	2	4	0	0	8	0	2	0	0	1	0	0	0	1	0	0	1	1	4	1	5	2	0	0	6	1	0	2	2	0	0	0	0	0
Lifehacker	3	0	0	2	0	0	3	9	0	4	0	0	3	0	0	0	4	2	0	1	0	0	6	0	1	0	0	5	0	3	0	0	5	0	1	0	0	1	0	0	0	1	1	0	1	1	8	5	0	0	0	1	1	0	27	1	1	3	3	0	0	0	1	0	3	0	0	0	2	4	3	5	3	0	1	2	1	1	2	5	4	0	0	12	4	0	2	0	3	0	0	1	0	2	3	1	7	0	6	6	0	10	0	0	0	2	1	0	5	1	1	7	2	1	3	1	4	0	0	0	0	0	1	0	4	0	2	26	3	12	0	14	0	2	1	2	6	1	2	1	1	0	0	0	1	0	1	4	0	1	1	0	0	4	1	0	2	4	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	3	4	3	1	3	0	0	1	1	0	0	1	0	2	2	1	0	0	0	1	5	8	0	4	1	1	3	1	1	0	0	0	0	1	0	2	3	1	1	1	2	0	0	1	5	2	1	0	1	3	1	0	1	1	0	0	0	1	2	1	1	0	0	1	0	4	2	0	0	0	2	0	2	1	0	0	3	4	7	0	4	4	0	11	0	4	0	2	1	5	6	1	2	3	0	0	1	1	1	1	0	0	2	1	2	0	2	0	2	2	1	6	3	0	0	1	0	1	1	0	1	0	1	2	0	11	3	2	0	1	0	0	0	3	0	0	12	0	0	5	0	0	0	0	1	4	0	0	2	1	0	5	2	0	4	1	2	4	0	1	0	3	4	0	3	0	1	2	2
Google Operating System	0	0	0	7	0	0	3	0	0	3	0	0	2	2	1	2	16	1	4	2	2	2	1	1	0	0	1	6	0	0	1	0	8	4	0	1	1	1	1	4	6	0	2	2	0	0	13	11	2	1	0	0	0	0	14	0	3	1	4	1	9	1	4	3	1	1	0	1	16	10	3	5	0	0	0	3	3	1	1	2	5	0	5	1	1	1	5	4	2	3	2	0	0	2	0	3	6	4	4	1	0	8	2	2	2	1	0	1	6	3	2	23	0	5	7	16	2	0	18	5	0	0	10	4	3	0	1	1	5	10	0	20	1	1	0	2	1	2	1	1	0	3	9	2	2	0	1	1	2	3	5	0	2	6	2	13	7	0	2	4	3	0	1	2	2	0	2	10	0	6	0	1	0	0	4	24	0	2	0	0	0	0	1	0	2	0	0	3	3	1	0	1	0	0	11	2	2	4	0	0	5	0	3	0	0	1	2	0	0	0	0	5	5	1	0	0	2	0	15	0	0	2	3	3	9	3	0	2	2	0	1	0	0	2	0	0	0	0	0	3	1	3	0	0	0	108	1	4	1	4	7	3	3	0	17	10	0	7	0	1	0	0	0	1	3	1	1	1	0	4	0	1	0	1	1	0	0	0	0	1	2	0	4	1	6	15	1	2	3	3	0	0	0	0	0	0	0	0	2	27	7	3	2	7	1	0	0	1	0	0	13	0	0	11	2	1	4	3	0	0	9	0	7	1	2	2	7	3	12	1	1	0	1	13	0	3	4	2	0	2	0	2	9
